# Source: mahavivo/english-wordlists CET4_edited.txt parsed from cached GitHub page.
# Fallbacks: previous generated phonetics plus six manual abbreviations/derived forms.
# Format: word<TAB>phonetic
a	/ə/
cube	/kjuːb/
cubic	/ˈkjuːbik/
cucumber	/ˈkjuːkʌmbə/
cultivate	/ˈkʌltiveit/
culture	/ˈkʌlt∫ə/
cunning	/ˈkʌniŋ/
cup	/kʌp/
cupboard	/ˈkʌbəd/
cure	/kjuə/
curiosity	/ˌkjuəriˈɔsiti/
curious	/ˈkjuəriəs/
curl	/kəːl/
current	/ˈkʌrənt/
curse	/kəːs/
curtain	/ˈkəːtən/
curve	/kəːv/
cushion	/ˈku∫ən/
custom	/ˈkʌstəm/
customer	/ˈkʌstəmə/
cut	/kʌt/
cycle	/ˈsaikl/
daily	/ˈdeili/
dairy	/ˈdeəri/
dam	/dæm/
damage	/ˈdæmidʒ/
damp	/dæmp/
dance	/ˈdɑːns/
danger	/ˈdeindʒə/
dangerous	/ˈdeindʒrəs/
dare	/deə/
daring	/ˈdeəriŋ/
dark	/dɑːk/
darling	/ˈdɑːliŋ/
dash	/dæ∫/
data	/ˈdeitə/
date	/deit/
daughter	/ˈdɔːtə/
dawn	/dɔːn/
day	/dei/
daylight	/ˈdeilait/
dead	/ded/
deadly	/ˈdedli/
deaf	/def/
deal	/diːl/
dear	/diə/
death	/deθ/
debate	/diˈbeit/
debt	/det/
decade	/ˈdekeid/
decay	/diˈkei/
deceit	/diˈsiːt/
deceive	/diˈsiːv/
December	/diˈsembə/
decent	/ˈdiːsnt/
decide	/diˈsaid/
decision	/diˈsiʒən/
deck	/dek/
declare	/diˈkleə/
decorate	/ˈdekəreit/
decrease	/diːˈkriːs/
deduce	/diˈdjuːs/
deed	/diːd/
deep	/diːp/
deepen	/ˈdiːpən/
deer	/diə/
defeat	/diˈfiːt/
defect	/diˈfekt/
defence	/diˈfens/
defend	/diˈfend/
